loss = 7.200983240577006, MAPE = 4.461136269872181
loss = 7.846609360025494, MAPE = 3.843499677714669
loss = 7.553519437327467, MAPE = 4.943300563178242
loss = 6.75702323834952, MAPE = 4.226858429306994
loss = 7.379817283022114, MAPE = 2.7077745648947493
loss = 6.796040763041911, MAPE = 3.579155697618706
loss = 6.285074315154259, MAPE = 5.361078154826242
loss = 6.04881221970811, MAPE = 3.3950162558597463
loss = 6.228309812384248, MAPE = 3.1724215676572545
loss = 6.255121110440358, MAPE = 5.205665732676122
loss = 5.719917476776128, MAPE = 5.082228451657811
loss = 5.9015012420285125, MAPE = 26.364636598405678
loss = 6.012164426774609, MAPE = 3.2621651263493665
loss = 5.895971064021111, MAPE = 4.630304682401002
loss = 5.654230282493784, MAPE = 3.850324894938318
loss = 5.684939631820653, MAPE = 3.184407462852039
loss = 5.318713594825609, MAPE = 4.846484887551681
loss = 5.6250565685517335, MAPE = 4.522950933104452
loss = 5.207426809472771, MAPE = 2.960045411388554
loss = 5.237061097951199, MAPE = 4.188309581538103
loss = 5.182555554665802, MAPE = 12.074671959770214
loss = 4.984111732273127, MAPE = 3.2815641467002172
loss = 4.96683865780444, MAPE = 4.3729643035967065
loss = 5.1045559508629035, MAPE = 9.4591941565238
loss = 4.806532434436408, MAPE = 7.530816093975565
loss = 5.346697450096701, MAPE = 7.816558446561513
loss = 4.8276038660151075, MAPE = 6.207379496221262
loss = 4.602233340652673, MAPE = 6.191748998967597
loss = 5.0303416632633, MAPE = 5.177704870489778
loss = 5.088150072729827, MAPE = 3.788785804199416
loss = 4.575839972878126, MAPE = 40.34923741156074
loss = 4.833012647330624, MAPE = 2.3880371268527014
loss = 4.654767004674582, MAPE = 4.029995974680001
loss = 4.278313094870228, MAPE = 2.434719914052345
loss = 4.267214111399774, MAPE = 3.1541096844787155
loss = 4.536817084610432, MAPE = 3.409250503024373
loss = 4.537614313708475, MAPE = 1.9969613681351335
loss = 4.568172630240629, MAPE = 1.8814260206823743
loss = 4.092362844992118, MAPE = 1.6179868689319208
loss = 4.198670740700281, MAPE = 1.9780159178540249
loss = 4.434114507890045, MAPE = 1.8537658516812539
loss = 4.291537112156662, MAPE = 2.700664504956313
loss = 4.0797053972308746, MAPE = 6.802762285495914
loss = 4.0122410434208104, MAPE = 2.363868084828466
loss = 4.405922928066862, MAPE = 2.425550256475462
loss = 4.04089270137194, MAPE = 1.7906330322921753
loss = 4.528434809644556, MAPE = 2.598534903423372
loss = 4.103030811517458, MAPE = 2.033057467332297
loss = 3.560612347473448, MAPE = 2.7220075446413614
loss = 4.250763273333333, MAPE = 2.133469329784188
loss = 3.878362851588082, MAPE = 1.715858987510442
loss = 4.233963818517607, MAPE = 1.7123319826773895
loss = 4.039859218614583, MAPE = 1.2801372182270148
loss = 3.625943499058749, MAPE = 0.7686840177886861
loss = 3.733619838294139, MAPE = 1.0503372552817674
loss = 4.2065642277367985, MAPE = 2.70966229323196
loss = 3.8604259435498234, MAPE = 1.8121083991807696
loss = 3.6039466688982307, MAPE = 1.525047864612255
loss = 3.9734997926566207, MAPE = 0.8185043028275175
loss = 3.6725178501972544, MAPE = 1.723573684846031
loss = 3.61037854426637, MAPE = 1.4084613257789453
loss = 3.727009780549127, MAPE = 1.1750841324238694
loss = 3.4441293206868733, MAPE = 3.3008076232115844
loss = 3.8148194061266305, MAPE = 0.6767576234699645
loss = 3.5015236002872956, MAPE = 0.6024952268250031
loss = 3.6185471031582472, MAPE = 1.2320892877206688
loss = 3.7620192501103937, MAPE = 1.142100285755176
loss = 3.850490103726591, MAPE = 1.866913855202876
loss = 3.6532822835627403, MAPE = 0.6494833421569721
loss = 3.6570505324193627, MAPE = 0.7584074243593545
loss = 3.962312019432102, MAPE = 2.0364061303257124
loss = 3.527612887784894, MAPE = 0.5510133760356867
loss = 3.536775537880976, MAPE = 0.8324486124944062
loss = 3.7433615949598, MAPE = 6.883629113720022
loss = 3.764894922389703, MAPE = 1.3581997193318134
loss = 3.490501007319722, MAPE = 2.4875217919643102
loss = 3.846591374282039, MAPE = 0.6214651764550353
loss = 3.35326172512389, MAPE = 0.5594938017766958
loss = 3.4440461442161854, MAPE = 0.5602406451868159
loss = 3.6341039564067983, MAPE = 0.505922335065621
loss = 3.7222291776496723, MAPE = 0.5395179515478368
loss = 3.2804321169655517, MAPE = 0.5898386671551545
loss = 3.5847259606278876, MAPE = 0.578627113727019
loss = 3.4544500984418542, MAPE = 0.47886531207458743
loss = 3.593351586518796, MAPE = 0.856562607346564
loss = 3.316992430702442, MAPE = 0.47685955736796026
loss = 3.8476624109884083, MAPE = 0.5418734952822074
loss = 3.411819294902627, MAPE = 0.5940795082048839
loss = 3.6041212444009947, MAPE = 0.5239556783796888
loss = 3.3164933380781636, MAPE = 1.1929049797411564
loss = 4.092815254222166, MAPE = 0.6295419843321823
loss = 3.199578475068209, MAPE = 0.6035658886245504
loss = 3.109225594511074, MAPE = 0.5436709831788976
loss = 3.7728577887011223, MAPE = 0.8503275414165004
loss = 3.5843493216193827, MAPE = 0.5010524668486369
loss = 3.594911296261783, MAPE = 0.5494795127114889
loss = 3.382841186260225, MAPE = 0.8452427389123554
loss = 3.2664841115895293, MAPE = 0.6096098517532839
loss = 3.2527267606322194, MAPE = 0.5541587538885129
loss = 3.7280181448982903, MAPE = 0.5423656457805888
loss = 3.254050879401938, MAPE = 0.5898355988536409
loss = 3.394745055437141, MAPE = 0.5668043055482616
loss = 2.988041145954993, MAPE = 0.49395665780078035
loss = 3.63254881954287, MAPE = 0.5254860497443532
loss = 3.2804272215951946, MAPE = 0.594003029473596
loss = 3.2247947256619196, MAPE = 0.41546279862664176
loss = 3.2957534752731794, MAPE = 0.5921255157070515
loss = 3.169812336677427, MAPE = 0.4650737289028255
loss = 3.324298427883366, MAPE = 0.4389899864327716
loss = 3.3886489256981434, MAPE = 0.4563728338025458
loss = 3.312129123532674, MAPE = 0.4162960158000143
loss = 3.522400861802344, MAPE = 0.47699424578886207
loss = 3.565066468619388, MAPE = 0.42562454686762136
loss = 3.1601358636817363, MAPE = 0.40581928689824226
loss = 3.5572862833235193, MAPE = 0.4261279452145009
loss = 3.544767633136952, MAPE = 0.6608891072115711
loss = 3.0963907245186473, MAPE = 0.4799118514430792
loss = 3.4285988633056013, MAPE = 0.8062476148293851
loss = 3.3283532096466395, MAPE = 0.39234699604311996
loss = 3.1827228618193764, MAPE = 0.40656501669144934
loss = 3.250587089585625, MAPE = 0.47779516625880386
loss = 3.6287837333001436, MAPE = 0.48051622343865946
loss = 2.949288693069751, MAPE = 0.41321678904187464
loss = 3.273188334056413, MAPE = 0.42370965054303256
loss = 2.9930091996690806, MAPE = 0.4683786135663214
loss = 3.2839659707475946, MAPE = 0.38238274763354724
loss = 3.2707147764002933, MAPE = 0.40642067164420664
loss = 3.1925258576956916, MAPE = 0.533047833620714
loss = 3.138282580211887, MAPE = 0.45348847864786135
loss = 3.261841221980474, MAPE = 1.097861390851378
loss = 2.8963524472029265, MAPE = 0.36079920731948995
loss = 3.099133647672762, MAPE = 0.416567348234672
loss = 3.1130913876898405, MAPE = 0.37183448804307917
loss = 3.167483724999345, MAPE = 0.40414644542408273
loss = 3.3041750419983495, MAPE = 0.4200118836846913
loss = 3.291255646646821, MAPE = 0.41079258051837253
loss = 2.987451387793875, MAPE = 0.36848082534146115
loss = 3.007790676564869, MAPE = 0.41439271657132865
loss = 2.979099853707674, MAPE = 0.36786864764958843
loss = 3.2533665524963853, MAPE = 0.4000742428403121
loss = 2.931050582271675, MAPE = 0.39434991245584256
loss = 2.969241017229503, MAPE = 0.3713195872026898
loss = 3.252764598342395, MAPE = 0.3664782512166485
loss = 3.260997746839382, MAPE = 0.4730865777166316
loss = 2.9038476954637025, MAPE = 0.3891457623672765
loss = 3.0077499210242014, MAPE = 0.3432328712667269
loss = 3.0908231708970586, MAPE = 0.3389625147832039
loss = 3.1185014930679897, MAPE = 0.4110123585949691
loss = 3.608238959550342, MAPE = 0.4430680310424649
loss = 3.705866582504035, MAPE = 0.44273605450916875
loss = 3.2035324368409954, MAPE = 0.38774954659975586
loss = 3.1722907518741774, MAPE = 0.41212603562384825
loss = 3.2066305822490184, MAPE = 0.4054266291735799
loss = 3.0473046684516953, MAPE = 0.39784991632831773
loss = 3.016198957047062, MAPE = 0.4822668886457257
loss = 3.1997030548209677, MAPE = 0.37766735014278185
loss = 3.1610251494724966, MAPE = 0.44438802729014526
loss = 2.9410436353808986, MAPE = 0.42778878381141955
loss = 2.7153946563434537, MAPE = 0.33414746016330105
loss = 3.2248432494332233, MAPE = 0.47881529158710867
loss = 3.4030114327759167, MAPE = 0.49925360833003873
loss = 3.3390666615361453, MAPE = 0.40820405172525726
loss = 3.4172510392782023, MAPE = 0.5167760410530883
loss = 2.9037816506559926, MAPE = 0.3241556531917808
loss = 2.937651964269329, MAPE = 0.33370514101103205
loss = 3.0014739735253753, MAPE = 0.33073826867217077
loss = 2.8042056000981903, MAPE = 0.30667886156155344
loss = 3.03860112566125, MAPE = 0.33962977619149715
loss = 3.0999821034509543, MAPE = 0.35606408905809805
loss = 3.091648070210669, MAPE = 0.37696767677882886
loss = 2.927723349755956, MAPE = 0.5921020671893568
loss = 3.267031833861219, MAPE = 0.4035899888975533
loss = 2.8803398667306133, MAPE = 0.37280277051635846
loss = 3.082588204630319, MAPE = 29.88461195506897
loss = 2.8144589091678025, MAPE = 0.346662728198836
loss = 3.294696974148744, MAPE = 0.352540260083907
loss = 2.7816487096495672, MAPE = 0.38520940722665553
